sheet_name,row_number,series_label,period,value,variable
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2011-Q3,1.576,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2011-Q4,1.517,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2012-Q1,1.46,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2012-Q2,1.419,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2012-Q3,1.443,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2012-Q4,1.496,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2013-Q1,1.522,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2013-Q2,1.492,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2013-Q3,1.438,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2013-Q4,1.37,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2014-Q1,1.337,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2014-Q2,1.267,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2014-Q3,1.215,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2014-Q4,1.166,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2015-Q1,1.132,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2015-Q2,1.143,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2015-Q3,1.079,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2015-Q4,1.068,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2016-Q1,1.097,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2016-Q2,1.183,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2016-Q3,1.187,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2016-Q4,1.191,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2017-Q1,1.158,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2017-Q2,1.124,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2017-Q3,1.09,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2017-Q4,1.072,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2018-Q1,1.05,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2018-Q2,1.063,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2018-Q3,1.07,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2018-Q4,1.059,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2019-Q1,1.051,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2019-Q2,1.045,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2019-Q3,1.007,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2019-Q4,0.987,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2020-Q1,0.993,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2020-Q2,1.008,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2020-Q3,1.004,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2020-Q4,1.014,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2021-Q1,1.022,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2021-Q2,0.997,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2021-Q3,0.968,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2021-Q4,0.943,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2022-Q1,0.937,serious_arrears_rate_pct
Summary 3,45,Total (exc 1.5 < 2.5% band) Per cent,2022-Q2,0.927,serious_arrears_rate_pct
